game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,Arthur Maulet,MaulAr00,0,2,1,0.5,10,10,5,0,64.6,-0.5,-1,11,1,0,1,1,2,3,1,0.25
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,Tre Norwood,NorwTr00,0,3,1,0.333,20,20,6.7,0,57.6,15.7,18,2,0,0,0,0,0,1,0,0
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,Alex Highsmith,HighAl02,0,0,0,,,,,,,,,,3,1,2,3,6,9,0,0
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,Cameron Heyward,HeywCa01,0,0,0,,,,,,,,,,0,0,2,1,3,2,0,0
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,T.J. Watt,WattT.00,1,0,0,,,,,,,,,,1,0,0,1,1,6,0,0
2022_01_PIT_CIN,202209110cin,2022,1,REG,PIT,CIN,Larry Ogunjobi,OgunLa00,0,0,0,,,,,,,,,,0,0,1,0,1,4,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Malcolm Rodriguez,RodrMa00,0,6,3,0.5,35,11.7,5.8,0,68.1,0.2,6,29,4,1,0,0,1,6,2,0.25
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Amani Oruwariye,OruwAm00,0,9,2,0.222,69,34.5,7.7,0,59,6.4,40,29,0,0,0,0,0,4,1,0.2
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Jeff Okudah,OkudJe00,0,6,2,0.333,21,10.5,3.5,0,44.4,4.7,15,6,0,0,0,0,0,10,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Mike Hughes,HughMi00,0,1,1,1,27,27,27,0,118.7,3,3,24,4,0,2,0,2,3,0,0
